name,platform,genre,publisher,developer,rating,year_of_release,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
Warriors Orochi 3,XOne,Action,Tecmo Koei,unknown,E,2014.0,0.01,0.03,0.0,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Shooter: Starfighter Sanvein,PS,Shooter,Midas Interactive Entertainment,unknown,E,2000.0,0.01,0.01,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
CIMA: The Enemy,GBA,Role-Playing,Marvelous Interactive,Neverland,E,2003.0,0.02,0.01,0.0,0.0,0.03,70.0,11.0,7.126899879372738,163.0088459991958
Borderlands: The Pre-Sequel,PS3,Shooter,Take-Two Interactive,2K Australia,M,2014.0,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0
Destiny,XOne,Shooter,Activision,"Bungie Software, Bungie",T,2014.0,2.14,0.92,0.0,0.31,3.37,75.0,11.0,5.5,1735.0
Macross Digital Mission VF-X,PS,Simulation,Namco Bandai Games,unknown,E,1997.0,0.0,0.0,0.28,0.02,0.3,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,Action,Namco Bandai Games,unknown,E,2014.0,0.0,0.0,0.31,0.0,0.31,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
XGIII: Extreme G Racing,PS2,Racing,Acclaim Entertainment,unknown,E,2001.0,0.13,0.1,0.0,0.03,0.27,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,Adventure,Banpresto,unknown,E,2011.0,0.0,0.0,0.15,0.0,0.15,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
NCAA Football 08,XB,Sports,Electronic Arts,EA Sports,E,2007.0,0.06,0.02,0.0,0.0,0.08,82.0,4.0,8.1,8.0
Mahjong Cub3D,3DS,Puzzle,Sunsoft,SunSoft,E,2011.0,0.07,0.0,0.02,0.0,0.09,67.0,11.0,5.3,4.0
Red Faction: Guerrilla,X360,Shooter,THQ,Volition Inc.,M,2009.0,0.48,0.29,0.01,0.09,0.87,85.0,84.0,8.1,237.0
Naruto: Ultimate Ninja Heroes,PSP,Fighting,Namco Bandai Games,Bandai,T,2006.0,0.26,0.0,0.0,0.0,0.26,70.0,11.0,6.6,11.0
Marvel Super Heroes vs. Street Fighter,PS,Fighting,Virgin Interactive,unknown,E,1998.0,0.14,0.1,0.0,0.02,0.26,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Driver: Parallel Lines,PS2,Racing,Atari,Reflections Interactive,M,2006.0,0.12,0.1,0.03,0.03,0.28,69.0,41.0,6.9,74.0
Mahouka Koukou no Rettousei: Out of Order,PSV,Adventure,Namco Bandai Games,unknown,E,2014.0,0.0,0.0,0.06,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
MLB SlugFest 20-04,XB,Sports,Midway Games,Midway,E,2003.0,0.07,0.02,0.0,0.0,0.09,76.0,16.0,7.126899879372738,163.0088459991958
Cars 2,DS,Racing,Disney Interactive Studios,unknown,E,2011.0,0.68,0.4,0.04,0.11,1.23,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Connect Four / Perfection / Trouble,GBA,Misc,Zoo Digital Publishing,unknown,E,2005.0,0.19,0.07,0.0,0.0,0.27,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Hooked! Again: Real Motion Fishing,Wii,Sports,505 Games,unknown,E,2009.0,0.36,0.0,0.0,0.03,0.39,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
My Hero Academia: Battle for All,3DS,Action,Namco Bandai Games,unknown,E,2016.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ghostbusters: The Video Game (DS Version),PS3,Action,Take-Two Interactive,unknown,E,2010.0,0.6,0.96,0.13,0.36,2.05,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Colin McRae Rally 2.0,GBA,Racing,Codemasters,Spellbound,E,2002.0,0.02,0.01,0.0,0.0,0.02,80.0,8.0,7.126899879372738,163.0088459991958
Bulletstorm,PS3,Shooter,Electronic Arts,"Epic Games, People Can Fly",M,2011.0,0.23,0.2,0.01,0.08,0.53,83.0,57.0,7.7,288.0
Shrek 2,XB,Platform,Activision,"Luxoflux, Inc.",E,2004.0,0.4,0.13,0.0,0.02,0.55,72.0,31.0,8.4,5.0
Get Up and Dance,PS3,Misc,O-Games,Crave,T,2011.0,0.03,0.0,0.0,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Lego Star Wars: The Force Awakens,XOne,Action,Warner Bros. Interactive Entertainment,TT Games,E10+,2016.0,0.14,0.13,0.0,0.02,0.3,76.0,11.0,7.0,18.0
NCAA March Madness 08,PS3,Sports,Electronic Arts,EA Canada,E,2007.0,0.08,0.0,0.0,0.01,0.09,67.0,15.0,3.8,4.0
MySims Racing,Wii,Racing,Electronic Arts,EA Games,E,2009.0,0.19,0.23,0.0,0.05,0.47,68.0,22.0,7.4,5.0
Dr. Mario,NES,Puzzle,Nintendo,unknown,E,1990.0,2.62,0.6,1.52,0.1,4.85,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
